order_id,date,region,country,product_category,product_name,units_sold,unit_price,revenue,cost,profit,customer_id,customer_segment,sales_channel
100017,2024-09-01,South America,Chile,Electronics,Smartphone X,3,342.34,1027.02,629.28,397.74,C1414,SMB,Online
100018,2024-09-01,Asia,China,Clothing,Sneakers,1,37.79,37.79,30.96,6.83,C1036,SMB,Online
100019,2024-09-01,Europe,France,Furniture,Bookshelf,6,262.1,1572.6,1040.57,532.03,C1472,SMB,Online
100020,2024-09-01,North America,Canada,Office Supplies,Desk Lamp,2,12.64,25.28,16.37,8.91,C1915,Consumer,Retail
100021,2024-09-01,Asia,Singapore,Office Supplies,Stapler,2,15.81,31.62,26.68,4.94,C1562,SMB,Retail
100022,2024-09-01,Asia,China,Furniture,Bookshelf,1,283.37,283.37,179.72,103.65,C1546,SMB,Online
100023,2024-09-01,Oceania,New Zealand,Clothing,Polo Shirt,4,52.17,208.68,176.15,32.53,C1115,Consumer,Online
100024,2024-09-01,South America,Chile,Electronics,Smartphone X,3,247.61,742.83,558.12,184.71,C1662,Consumer,Online
100025,2024-09-01,South America,Brazil,Clothing,Polo Shirt,2,59.28,118.56,94.02,24.54,C1920,SMB,Online
100026,2024-09-01,North America,USA,Electronics,Smartwatch Z,4,226.92,907.68,656.69,250.99,C1853,Consumer,Online
100027,2024-09-01,Oceania,New Zealand,Office Supplies,Ballpoint Pen,1,13.23,13.23,9.41,3.82,C1612,Consumer,Retail
100028,2024-09-01,North America,USA,Office Supplies,Ballpoint Pen,1,15.28,15.28,10.88,4.4,C1822,Consumer,Online
100029,2024-09-02,Europe,Germany,Clothing,Jacket,2,62.46,124.92,85.28,39.64,C1095,Consumer,Retail
100030,2024-09-02,Asia,India,Furniture,Office Chair,3,212.16,636.48,418.03,218.45,C1996,Consumer,Online
100031,2024-09-02,North America,Mexico,Electronics,Laptop Pro,2,347.41,694.82,550.35,144.47,C1611,Consumer,Online
100032,2024-09-02,Europe,Germany,Clothing,Sneakers,1,46.24,46.24,34.11,12.13,C1441,Consumer,Online
100033,2024-09-02,Asia,Singapore,Electronics,Wireless Headset,6,356.02,2136.12,1700.76,435.36,C1267,Consumer,Partner
100034,2024-09-02,South America,Brazil,Electronics,Wireless Headset,1,321.29,321.29,209.15,112.14,C1089,Consumer,Retail
100035,2024-09-02,North America,Canada,Electronics,Wireless Headset,1,335.41,335.41,247.76,87.65,C1412,Consumer,Online
100036,2024-09-02,Oceania,New Zealand,Electronics,Smartphone X,3,255.0,765.0,553.98,211.02,C1662,Enterprise,Retail
100037,2024-09-02,Europe,UK,Furniture,Bookshelf,1,310.38,310.38,217.76,92.62,C1879,Consumer,Online
100038,2024-09-02,North America,USA,Clothing,Sneakers,3,49.79,149.37,85.89,63.48,C1068,Consumer,Online
100039,2024-09-02,Asia,Singapore,Clothing,Sneakers,1,49.83,49.83,28.27,21.56,C1222,Consumer,Retail
100040,2024-09-02,Asia,Japan,Electronics,Smartwatch Z,5,281.4,1407.0,1150.32,256.68,C1193,Consumer,Online
100041,2024-09-02,Oceania,New Zealand,Clothing,Hoodie,5,58.31,291.55,209.19,82.36,C1090,Consumer,Online
100042,2024-09-02,Europe,UK,Electronics,Smartwatch Z,6,282.04,1692.24,1173.25,518.99,C1408,SMB,Online
100043,2024-09-02,Oceania,New Zealand,Clothing,Polo Shirt,1,61.73,61.73,43.72,18.01,C1202,Enterprise,Online
100044,2024-09-02,Asia,India,Office Supplies,Notebook A4,1,19.46,19.46,14.77,4.69,C1258,Enterprise,Online
100045,2024-09-02,Europe,Spain,Electronics,Laptop Pro,2,243.86,487.72,336.09,151.63,C1697,Consumer,Online
100046,2024-09-02,Europe,Spain,Clothing,Hoodie,1,43.39,43.39,29.22,14.17,C1460,SMB,Online
100047,2024-09-02,South America,Brazil,Clothing,Jacket,5,35.79,178.95,118.63,60.32,C1064,Consumer,Partner
100048,2024-09-02,Europe,Germany,Electronics,Laptop Pro,2,216.63,433.26,255.69,177.57,C1404,Consumer,Retail
100049,2024-09-02,South America,Chile,Furniture,Bookshelf,4,242.58,970.32,571.27,399.05,C1050,Consumer,Online
100050,2024-09-02,South America,Argentina,Electronics,Smartwatch Z,1,299.67,299.67,207.63,92.04,C1770,Consumer,Retail
100051,2024-09-02,Asia,India,Electronics,Wireless Headset,1,215.18,215.18,167.1,48.08,C1852,SMB,Retail
100052,2024-09-02,South America,Argentina,Electronics,Laptop Pro,2,340.75,681.5,486.75,194.75,C1480,SMB,Online
100053,2024-09-03,Oceania,New Zealand,Furniture,Filing Cabinet,3,270.01,810.03,503.87,306.16,C1882,Consumer,Online
100054,2024-09-03,Asia,Japan,Electronics,Smartwatch Z,1,284.1,284.1,230.77,53.33,C1666,SMB,Online
100055,2024-09-03,North America,Mexico,Clothing,Hoodie,1,37.66,37.66,22.08,15.58,C1232,Consumer,Retail
100056,2024-09-03,North America,Canada,Furniture,Office Chair,1,247.17,247.17,186.94,60.23,C1055,SMB,Partner
100057,2024-09-03,North America,Canada,Clothing,Sneakers,2,46.11,92.22,64.13,28.09,C1473,SMB,Online
100058,2024-09-03,Asia,China,Electronics,Smartwatch Z,1,333.69,333.69,268.06,65.63,C1362,Consumer,Online
100059,2024-09-03,Europe,France,Electronics,Smartwatch Z,1,213.61,213.61,138.13,75.48,C1230,Consumer,Online
100060,2024-09-03,North America,USA,Office Supplies,Stapler,2,15.76,31.52,24.3,7.22,C1622,SMB,Online
100061,2024-09-03,North America,USA,Electronics,Smartwatch Z,2,387.57,775.14,567.2,207.94,C1288,Consumer,Online
100062,2024-09-03,Europe,Spain,Electronics,Wireless Headset,1,355.06,355.06,201.21,153.85,C1136,Consumer,Online
100063,2024-09-03,Europe,Spain,Clothing,Hoodie,4,40.13,160.52,120.49,40.03,C1440,SMB,Online
100064,2024-09-03,Asia,India,Furniture,Standing Desk,3,254.48,763.44,581.87,181.57,C1653,Consumer,Online
100065,2024-09-03,North America,USA,Office Supplies,Notebook A4,2,15.44,30.88,18.85,12.03,C1167,SMB,Online
100066,2024-09-03,Asia,India,Electronics,Wireless Headset,2,377.32,754.64,603.1,151.54,C1235,Consumer,Partner
100067,2024-09-03,Oceania,New Zealand,Electronics,Wireless Headset,2,350.67,701.34,559.94,141.4,C1228,Consumer,Online
100068,2024-09-03,North America,USA,Electronics,Laptop Pro,3,356.99,1070.97,730.12,340.85,C1525,SMB,Retail
100069,2024-09-03,Asia,Japan,Office Supplies,Notebook A4,2,11.1,22.2,13.74,8.46,C1038,Consumer,Partner
100070,2024-09-03,Asia,Singapore,Furniture,Filing Cabinet,5,221.76,1108.8,692.5,416.3,C1950,Consumer,Online
100071,2024-09-03,Asia,India,Clothing,Polo Shirt,1,51.09,51.09,33.91,17.18,C1876,Consumer,Online
100072,2024-09-03,Asia,India,Office Supplies,Stapler,4,12.77,51.08,33.39,17.69,C1010,Enterprise,Online
100073,2024-09-03,North America,Mexico,Office Supplies,Ballpoint Pen,2,11.41,22.82,14.3,8.52,C1615,SMB,Partner
100074,2024-09-03,Asia,Singapore,Furniture,Office Chair,1,261.44,261.44,191.38,70.06,C1050,SMB,Partner
100075,2024-09-03,Oceania,Australia,Electronics,Smartphone X,2,375.75,751.5,609.44,142.06,C1566,Consumer,Retail
100076,2024-09-03,Europe,UK,Electronics,Smartwatch Z,2,284.61,569.22,460.53,108.69,C1805,Consumer,Online
100077,2024-09-03,Asia,India,Office Supplies,Desk Lamp,1,12.09,12.09,8.46,3.63,C1709,Consumer,Online
100078,2024-09-03,Asia,Japan,Furniture,Filing Cabinet,1,321.33,321.33,220.98,100.35,C1147,Consumer,Online
100079,2024-09-03,Oceania,Australia,Electronics,Smartwatch Z,1,344.99,344.99,211.47,133.52,C1722,Consumer,Online
100080,2024-09-03,Asia,India,Office Supplies,Stapler,2,15.25,30.5,21.67,8.83,C1112,Consumer,Online
100081,2024-09-03,North America,USA,Electronics,Wireless Headset,2,325.92,651.84,438.44,213.4,C1086,Enterprise,Retail
100082,2024-09-03,South America,Brazil,Office Supplies,Desk Lamp,2,11.44,22.88,18.07,4.81,C1578,SMB,Online
100083,2024-09-03,Asia,Japan,Electronics,Laptop Pro,4,283.15,1132.6,733.02,399.58,C1977,Consumer,Online
100084,2024-09-03,North America,Mexico,Electronics,Wireless Headset,4,256.7,1026.8,681.7,345.1,C1470,Consumer,Retail
100085,2024-09-03,Europe,Spain,Office Supplies,Ballpoint Pen,4,15.59,62.36,52.73,9.63,C1726,SMB,Online
100086,2024-09-03,North America,Canada,Furniture,Standing Desk,2,300.24,600.48,507.6,92.88,C1441,Enterprise,Retail
100087,2024-09-03,Asia,China,Clothing,Polo Shirt,2,47.16,94.32,65.95,28.37,C1587,Consumer,Online
100088,2024-09-04,Asia,India,Office Supplies,Ballpoint Pen,3,10.92,32.76,19.65,13.11,C1362,Consumer,Online
100089,2024-09-04,Asia,India,Electronics,Smartwatch Z,5,381.74,1908.7,1127.09,781.61,C1311,Consumer,Online
100090,2024-09-04,Europe,France,Clothing,Polo Shirt,2,58.13,116.26,67.66,48.6,C1712,Consumer,Online
100091,2024-09-04,Asia,Singapore,Office Supplies,Desk Lamp,1,11.2,11.2,6.17,5.03,C1434,Consumer,Online
100092,2024-09-04,Europe,Spain,Clothing,Polo Shirt,1,48.38,48.38,29.3,19.08,C1317,Enterprise,Retail
100093,2024-09-04,Asia,India,Furniture,Standing Desk,5,275.49,1377.45,775.85,601.6,C1015,Enterprise,Online
100094,2024-09-04,Asia,China,Electronics,Wireless Headset,5,365.17,1825.85,1466.82,359.03,C1401,Consumer,Retail
100095,2024-09-04,Asia,Singapore,Electronics,Smartwatch Z,3,282.81,848.43,612.34,236.09,C1887,Consumer,Retail
100096,2024-09-04,Europe,Germany,Office Supplies,Notebook A4,2,18.33,36.66,20.4,16.26,C1758,Consumer,Online
100097,2024-09-04,Oceania,Australia,Clothing,Sneakers,1,37.66,37.66,21.14,16.52,C1747,SMB,Retail
100098,2024-09-04,Oceania,New Zealand,Electronics,Wireless Headset,2,229.89,459.78,301.79,157.99,C1669,SMB,Retail
100099,2024-09-04,Asia,Singapore,Electronics,Laptop Pro,1,229.7,229.7,153.32,76.38,C1963,Consumer,Partner
100100,2024-09-04,Asia,Japan,Office Supplies,Desk Lamp,4,19.42,77.68,48.12,29.56,C1659,SMB,Online
100101,2024-09-04,South America,Argentina,Electronics,Laptop Pro,1,382.31,382.31,305.03,77.28,C1516,Consumer,Partner
100102,2024-09-04,South America,Chile,Office Supplies,Notebook A4,1,17.32,17.32,13.14,4.18,C1215,SMB,Online
100103,2024-09-04,Asia,India,Office Supplies,Notebook A4,4,14.79,59.16,33.33,25.83,C1737,SMB,Retail
100104,2024-09-04,Asia,India,Furniture,Standing Desk,2,283.51,567.02,396.21,170.81,C1453,Enterprise,Online
100105,2024-09-04,South America,Brazil,Clothing,Sneakers,5,60.93,304.65,234.63,70.02,C1215,SMB,Retail
100106,2024-09-04,South America,Chile,Electronics,Smartphone X,5,368.56,1842.8,1495.53,347.27,C1030,SMB,Online
100107,2024-09-04,Europe,Germany,Clothing,Hoodie,3,43.61,130.83,96.17,34.66,C1112,Consumer,Online
100108,2024-09-04,Europe,Spain,Office Supplies,Desk Lamp,1,13.05,13.05,7.25,5.8,C1232,Enterprise,Online
100109,2024-09-04,Asia,China,Furniture,Standing Desk,2,220.14,440.28,335.69,104.59,C1917,SMB,Online
100110,2024-09-04,North America,Mexico,Clothing,Hoodie,3,57.75,173.25,96.57,76.68,C1906,SMB,Online
100111,2024-09-04,South America,Chile,Furniture,Standing Desk,1,316.65,316.65,183.87,132.78,C1488,Consumer,Retail
100112,2024-09-04,Asia,Singapore,Clothing,Jacket,2,63.53,127.06,75.64,51.42,C1603,SMB,Partner
100113,2024-09-04,South America,Argentina,Furniture,Office Chair,3,206.97,620.91,347.3,273.61,C1792,SMB,Online
100114,2024-09-04,Asia,Japan,Clothing,Hoodie,1,39.61,39.61,27.18,12.43,C1561,SMB,Retail
100115,2024-09-04,North America,USA,Clothing,Hoodie,3,38.76,116.28,87.87,28.41,C1739,Consumer,Online
100116,2024-09-04,North America,Canada,Office Supplies,Notebook A4,3,14.68,44.04,33.21,10.83,C1337,Consumer,Retail
100117,2024-09-04,Europe,UK,Furniture,Filing Cabinet,1,247.08,247.08,143.67,103.41,C1400,Consumer,Online
100118,2024-09-04,North America,Canada,Furniture,Filing Cabinet,3,255.14,765.42,623.63,141.79,C1925,Consumer,Online
100119,2024-09-05,Asia,China,Furniture,Bookshelf,1,190.69,190.69,141.29,49.4,C1962,SMB,Online
100120,2024-09-05,Asia,Japan,Office Supplies,Ballpoint Pen,5,16.45,82.25,58.88,23.37,C1389,SMB,Online
100121,2024-09-05,Asia,India,Electronics,Laptop Pro,1,220.86,220.86,137.85,83.01,C1908,Consumer,Retail
100122,2024-09-05,Europe,Germany,Electronics,Smartwatch Z,2,239.1,478.2,266.0,212.2,C1722,Consumer,Partner
100123,2024-09-05,Oceania,Australia,Electronics,Wireless Headset,1,215.52,215.52,135.2,80.32,C1331,Consumer,Partner
100124,2024-09-05,Europe,Spain,Office Supplies,Stapler,4,15.79,63.16,35.29,27.87,C1865,Consumer,Retail
100125,2024-09-05,South America,Argentina,Furniture,Bookshelf,2,268.44,536.88,397.01,139.87,C1910,Consumer,Retail
100126,2024-09-05,Europe,Germany,Electronics,Smartwatch Z,2,222.44,444.88,303.03,141.85,C1501,SMB,Online
100127,2024-09-05,Asia,India,Furniture,Bookshelf,1,320.41,320.41,201.04,119.37,C1228,Consumer,Online
100128,2024-09-05,Asia,Singapore,Clothing,Jacket,2,44.93,89.86,61.52,28.34,C1843,SMB,Online
100129,2024-09-05,North America,Mexico,Clothing,Polo Shirt,1,36.1,36.1,27.83,8.27,C1996,Consumer,Retail
100130,2024-09-05,Asia,Singapore,Office Supplies,Desk Lamp,2,19.38,38.76,22.75,16.01,C1292,Enterprise,Online
100131,2024-09-05,North America,Canada,Electronics,Wireless Headset,2,236.7,473.4,400.49,72.91,C1215,SMB,Online
100132,2024-09-05,Europe,UK,Clothing,Jacket,1,45.28,45.28,32.13,13.15,C1150,Consumer,Online
100133,2024-09-05,Asia,China,Furniture,Filing Cabinet,1,275.89,275.89,188.47,87.42,C1516,Enterprise,Online
100134,2024-09-05,Asia,Japan,Clothing,Hoodie,1,42.32,42.32,33.82,8.5,C1302,Consumer,Online
100135,2024-09-05,Oceania,New Zealand,Clothing,Polo Shirt,2,54.54,109.08,63.48,45.6,C1219,Consumer,Retail
100136,2024-09-05,Europe,UK,Office Supplies,Stapler,1,13.1,13.1,7.63,5.47,C1609,Consumer,Online
100137,2024-09-05,Asia,China,Clothing,Polo Shirt,3,51.33,153.99,84.96,69.03,C1654,SMB,Retail
100138,2024-09-05,Asia,Japan,Electronics,Smartphone X,3,315.67,947.01,568.71,378.3,C1973,SMB,Online
100139,2024-09-05,Europe,Germany,Clothing,Hoodie,1,45.24,45.24,30.04,15.2,C1993,Consumer,Online
100140,2024-09-05,Asia,Japan,Furniture,Standing Desk,4,309.51,1238.04,707.4,530.64,C1398,Consumer,Partner
100141,2024-09-05,North America,USA,Office Supplies,Desk Lamp,1,14.87,14.87,9.32,5.55,C1563,SMB,Partner
100142,2024-09-05,Asia,Singapore,Electronics,Smartwatch Z,4,232.18,928.72,750.24,178.48,C1038,Consumer,Retail
100143,2024-09-06,Europe,Spain,Office Supplies,Ballpoint Pen,2,16.2,32.4,27.07,5.33,C1886,SMB,Online
100144,2024-09-06,Asia,China,Electronics,Laptop Pro,1,373.06,373.06,291.35,81.71,C1048,Consumer,Retail
100145,2024-09-06,Europe,France,Clothing,Jacket,1,53.72,53.72,36.83,16.89,C1241,Consumer,Online
100146,2024-09-06,South America,Brazil,Electronics,Smartphone X,1,251.44,251.44,153.85,97.59,C1522,Consumer,Online
100147,2024-09-06,Asia,China,Electronics,Smartwatch Z,1,282.78,282.78,191.85,90.93,C1166,SMB,Online
100148,2024-09-06,Europe,Germany,Electronics,Laptop Pro,3,326.15,978.45,713.02,265.43,C1072,Consumer,Online
100149,2024-09-06,Europe,Spain,Office Supplies,Stapler,1,17.7,17.7,10.98,6.72,C1148,Consumer,Online
100150,2024-09-06,Asia,Singapore,Electronics,Wireless Headset,1,278.13,278.13,183.26,94.87,C1802,SMB,Online
100151,2024-09-06,North America,Canada,Clothing,Polo Shirt,2,47.28,94.56,64.0,30.56,C1054,SMB,Online
100152,2024-09-06,Asia,Singapore,Office Supplies,Ballpoint Pen,1,11.87,11.87,10.06,1.81,C1871,SMB,Online
100153,2024-09-06,Asia,Singapore,Furniture,Standing Desk,4,184.47,737.88,431.88,306.0,C1662,Consumer,Online
100154,2024-09-06,North America,Mexico,Electronics,Smartphone X,1,290.5,290.5,212.12,78.38,C1310,Consumer,Retail
100155,2024-09-06,Asia,Singapore,Clothing,Hoodie,2,53.84,107.68,81.01,26.67,C1669,SMB,Online
100156,2024-09-06,North America,Canada,Electronics,Smartphone X,1,237.68,237.68,146.67,91.01,C1205,Enterprise,Retail
100157,2024-09-06,South America,Brazil,Office Supplies,Notebook A4,4,15.02,60.08,40.23,19.85,C1024,SMB,Online
100158,2024-09-06,Asia,Singapore,Electronics,Smartwatch Z,1,349.81,349.81,205.2,144.61,C1091,Consumer,Online
100159,2024-09-06,Europe,Spain,Clothing,Sneakers,1,54.51,54.51,32.47,22.04,C1516,SMB,Online
100160,2024-09-06,North America,Mexico,Furniture,Bookshelf,3,193.21,579.63,371.53,208.1,C1882,Consumer,Retail
100161,2024-09-07,North America,USA,Furniture,Filing Cabinet,1,302.2,302.2,231.88,70.32,C1484,SMB,Online
100162,2024-09-07,North America,Mexico,Office Supplies,Ballpoint Pen,3,14.25,42.75,29.69,13.06,C1245,SMB,Online
100163,2024-09-07,Asia,Singapore,Office Supplies,Notebook A4,3,11.08,33.24,18.71,14.53,C1464,Consumer,Online
100164,2024-09-07,Asia,Singapore,Electronics,Smartphone X,1,268.44,268.44,207.02,61.42,C1743,SMB,Retail
100165,2024-09-07,South America,Argentina,Furniture,Office Chair,1,190.32,190.32,142.28,48.04,C1424,SMB,Online
100166,2024-09-07,Europe,Germany,Clothing,Sneakers,5,53.42,267.1,152.25,114.85,C1855,SMB,Online
100167,2024-09-07,Oceania,Australia,Furniture,Office Chair,1,286.93,286.93,214.54,72.39,C1434,Consumer,Online
100168,2024-09-07,Oceania,Australia,Electronics,Wireless Headset,1,349.44,349.44,261.52,87.92,C1539,Consumer,Online
100169,2024-09-07,Asia,China,Furniture,Filing Cabinet,1,252.2,252.2,206.72,45.48,C1647,SMB,Retail
100170,2024-09-07,Europe,Germany,Electronics,Smartwatch Z,4,384.33,1537.32,1213.89,323.43,C1651,Consumer,Online
100171,2024-09-07,Asia,Singapore,Furniture,Filing Cabinet,1,181.56,181.56,105.89,75.67,C1401,Consumer,Online
100172,2024-09-07,Europe,Spain,Electronics,Laptop Pro,2,245.54,491.08,400.76,90.32,C1887,Enterprise,Retail
100173,2024-09-07,Europe,France,Clothing,Polo Shirt,2,64.35,128.7,99.67,29.03,C1237,SMB,Retail
100174,2024-09-07,North America,Canada,Furniture,Office Chair,1,199.72,199.72,117.74,81.98,C1462,Consumer,Partner
100175,2024-09-07,Asia,Japan,Clothing,Polo Shirt,4,39.55,158.2,91.46,66.74,C1107,SMB,Retail
100176,2024-09-07,North America,Canada,Office Supplies,Stapler,3,14.11,42.33,33.44,8.89,C1490,Consumer,Retail
100177,2024-09-07,South America,Chile,Electronics,Smartphone X,2,362.65,725.3,581.68,143.62,C1011,SMB,Online
100178,2024-09-07,Oceania,Australia,Furniture,Filing Cabinet,1,306.5,306.5,260.19,46.31,C1131,Consumer,Retail
100179,2024-09-07,Asia,China,Office Supplies,Notebook A4,1,12.11,12.11,6.77,5.34,C1941,Consumer,Retail
100180,2024-09-07,North America,Mexico,Clothing,Polo Shirt,1,52.4,52.4,37.65,14.75,C1899,Consumer,Online
100181,2024-09-07,Asia,Japan,Electronics,Smartwatch Z,2,335.17,670.34,518.69,151.65,C1313,SMB,Retail
100182,2024-09-07,Asia,Singapore,Electronics,Laptop Pro,2,249.71,499.42,364.31,135.11,C1762,SMB,Retail
100183,2024-09-07,Europe,UK,Office Supplies,Stapler,1,16.67,16.67,14.13,2.54,C1123,Consumer,Online
100184,2024-09-07,Asia,India,Office Supplies,Ballpoint Pen,1,10.72,10.72,8.57,2.15,C1709,Consumer,Online
100185,2024-09-07,Oceania,New Zealand,Clothing,Hoodie,3,48.75,146.25,101.63,44.62,C1581,SMB,Online
100186,2024-09-07,South America,Chile,Office Supplies,Notebook A4,1,11.02,11.02,6.81,4.21,C1363,Consumer,Retail
100187,2024-09-07,Asia,Singapore,Electronics,Smartwatch Z,1,260.79,260.79,163.91,96.88,C1162,Consumer,Retail
100188,2024-09-08,Europe,UK,Office Supplies,Stapler,1,16.08,16.08,11.56,4.52,C1532,Consumer,Online
100189,2024-09-08,Europe,France,Electronics,Smartwatch Z,4,285.38,1141.52,716.93,424.59,C1312,Consumer,Partner
100190,2024-09-08,North America,Mexico,Electronics,Smartwatch Z,1,380.47,380.47,319.67,60.8,C1444,Consumer,Online
100191,2024-09-08,North America,Canada,Electronics,Laptop Pro,2,364.83,729.66,559.54,170.12,C1680,SMB,Online
100192,2024-09-08,Asia,China,Office Supplies,Notebook A4,1,16.48,16.48,10.13,6.35,C1841,Consumer,Online
100193,2024-09-08,Asia,China,Electronics,Wireless Headset,3,351.53,1054.59,643.73,410.86,C1390,SMB,Online
100194,2024-09-08,Asia,Singapore,Office Supplies,Stapler,1,16.44,16.44,9.84,6.6,C1781,Consumer,Online
100195,2024-09-08,Oceania,New Zealand,Office Supplies,Ballpoint Pen,1,14.68,14.68,12.08,2.6,C1096,Consumer,Retail
100196,2024-09-08,Europe,France,Clothing,Hoodie,1,48.23,48.23,29.36,18.87,C1267,Consumer,Online
100197,2024-09-08,Asia,Singapore,Electronics,Smartwatch Z,4,335.26,1341.04,1056.71,284.33,C1774,SMB,Online
100198,2024-09-08,South America,Chile,Clothing,Polo Shirt,1,45.91,45.91,35.34,10.57,C1687,Consumer,Online
100199,2024-09-08,Asia,China,Clothing,Polo Shirt,5,54.04,270.2,162.06,108.14,C1101,Enterprise,Retail
100200,2024-09-08,North America,USA,Office Supplies,Notebook A4,1,17.91,17.91,10.98,6.93,C1644,Enterprise,Online
100201,2024-09-08,Europe,Germany,Office Supplies,Desk Lamp,5,17.87,89.35,72.73,16.62,C1797,Consumer,Retail
100202,2024-09-08,South America,Argentina,Furniture,Bookshelf,1,242.55,242.55,187.89,54.66,C1952,Consumer,Online
100203,2024-09-08,Asia,Singapore,Office Supplies,Desk Lamp,1,17.15,17.15,9.98,7.17,C1482,SMB,Online
100204,2024-09-08,North America,USA,Furniture,Office Chair,3,251.9,755.7,484.85,270.85,C1190,Consumer,Retail
100205,2024-09-08,Europe,Spain,Clothing,Sneakers,2,61.97,123.94,92.36,31.58,C1645,SMB,Online
100206,2024-09-08,North America,Canada,Office Supplies,Stapler,1,14.21,14.21,11.24,2.97,C1506,Consumer,Online
100207,2024-09-08,Asia,China,Clothing,Hoodie,5,63.88,319.4,245.3,74.1,C1762,SMB,Online
100208,2024-09-08,Asia,Singapore,Electronics,Laptop Pro,1,222.3,222.3,139.83,82.47,C1264,Consumer,Online
100209,2024-09-08,Europe,France,Electronics,Smartphone X,2,372.52,745.04,600.26,144.78,C1872,Consumer,Online
100210,2024-09-08,Oceania,Australia,Electronics,Smartphone X,2,258.2,516.4,406.28,110.12,C1468,Consumer,Online
100211,2024-09-08,South America,Chile,Office Supplies,Notebook A4,1,18.69,18.69,14.03,4.66,C1976,Consumer,Partner
100212,2024-09-09,Europe,Spain,Office Supplies,Stapler,5,12.61,63.05,49.56,13.49,C1578,SMB,Partner
100213,2024-09-09,Asia,Japan,Clothing,Sneakers,1,42.63,42.63,28.07,14.56,C1779,SMB,Partner
100214,2024-09-09,North America,Canada,Clothing,Polo Shirt,3,49.23,147.69,107.41,40.28,C1700,Consumer,Online
100215,2024-09-09,North America,Mexico,Clothing,Polo Shirt,3,43.8,131.4,109.0,22.4,C1776,SMB,Online
100216,2024-09-09,South America,Brazil,Electronics,Wireless Headset,1,331.58,331.58,186.83,144.75,C1906,Consumer,Online
100217,2024-09-09,Europe,Spain,Furniture,Filing Cabinet,3,298.57,895.71,749.28,146.43,C1249,SMB,Retail
100218,2024-09-09,North America,Canada,Electronics,Wireless Headset,1,366.89,366.89,230.04,136.85,C1323,Consumer,Online
100219,2024-09-09,Europe,France,Office Supplies,Stapler,1,11.22,11.22,7.37,3.85,C1934,Consumer,Retail
100220,2024-09-09,Asia,Japan,Office Supplies,Ballpoint Pen,1,11.54,11.54,6.88,4.66,C1770,SMB,Online
100221,2024-09-09,South America,Argentina,Clothing,Hoodie,1,47.66,47.66,30.43,17.23,C1832,Consumer,Online
100222,2024-09-09,South America,Argentina,Office Supplies,Desk Lamp,2,13.99,27.98,22.54,5.44,C1419,SMB,Online
100223,2024-09-09,Europe,Germany,Office Supplies,Stapler,5,15.74,78.7,52.05,26.65,C1824,Consumer,Online
100224,2024-09-09,Asia,China,Electronics,Smartphone X,1,347.14,347.14,289.51,57.63,C1786,Consumer,Retail
100225,2024-09-09,Asia,Japan,Electronics,Wireless Headset,1,331.88,331.88,242.85,89.03,C1929,SMB,Online
100226,2024-09-09,Asia,Japan,Furniture,Office Chair,3,195.37,586.11,339.82,246.29,C1429,Consumer,Online
100227,2024-09-09,North America,Canada,Electronics,Smartphone X,1,372.01,372.01,217.57,154.44,C1169,Consumer,Online
100228,2024-09-09,Europe,Germany,Clothing,Polo Shirt,1,53.21,53.21,31.69,21.52,C1912,Consumer,Online
